"Just Earned the Salesforce DX Development Model Badge!",badge
"Just earned the Salesforce DX Development Model badge on",badge
"Just earned the App Development with Salesforce DX badge on",badge
"Just earned the Continuous Integration Using Salesforce DX badge on",badge
"Just earned the Salesforce DX Development Model badge on !   first few?",badge
"This was fun! Just earned the App Development with Salesforce DX badge on !",badge
"Just earned the Salesforce DX Development Model badge on  and you should too!",badge
"Just earned the App Development with Salesforce DX badge on  and you should too!",badge
"Just earned the Git and GitHub Basics badge on .  Completed Get Started with Sales",badge
"#MyTrailAhead Just earned the Salesforce DX Development Model badge on #Trailhead  via",badge
"Just earned the Continuous Integration Using Salesforce DX badge on  and you should too!",badge
"#MyTrailAhead Just earned the App Development with Salesforce DX badge on #Trailhead ! via",badge
"Loving DX... Just earned the Salesforce DX Development Model badge on  and you should too!",badge
"Another $10 donation to . #TDX17   Just earned the Salesforce DX Development Model badge on !",badge
"Just earned the Continuous Integration Using Salesforce DX badge on  and you should too!  #TDX17",badge
"#MyTrailAhead Just earned the Continuous Integration Using Salesforce DX badge on #Trailhead   via",badge
"Just earned the Continuous Integration Using Salesforce DX badge on  ! (do the steps and set up CI!)",badge
"Foundation is strong - Just earned the Salesforce DX Development Model badge on  and you should too!",badge
"Just earned the #SalesforceDX Development Model badge on  and you should too! #TDX17 #Trailheadx",badge
"Just won the #Salesforce DX Development Mode badgel on  ! #SalesforceDX is exactly what I needed.",badge
"earned the App Development with Salesforce DX badge on  despite DX riddled with errors",badge
"You too should get the taste of packaging v2 in App Development with Salesforce DX badge on",badge
"Exciting #salesforcedx is almost here!  Open Beta!  Great tool for devs (&amp; help stop clashes with admins teams)!",excitement
"#AwesomeAdmins READ THIS NOW about #SalesforceDX it explains everything you need to know.  THIS IS EVERYTHING.",excitement
"I'm an #AwesomeAdmin and I earned a #SalesforceDX badge.  I've come a long way and proud that I understand this for",excitement
"Thx! Here we go then:",excitement
"Its beta day!!",excitement
"My baby is growing up!",excitement
"rocking SalesforceDx demo",excitement
"#salesforcedx! Lovin' this!",excitement
"Happy to help  ! #SalesforceDX",excitement
"This looks SWEET! #SalesforceDX",excitement
"Can't wait to try it out! #SFDX",excitement
"#SalesforceDX open beta out now!",excitement
"Awesome session on #salesforcedx",excitement
"Finally #SalesforceDX is in beta:",excitement
"Asking for a friend #SalesforceDX",excitement
"#TDX17  SalesforceDX Open Beta !!!",excitement
